,Customer Code,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
80,Customer81,Maintenance,USA,Enterprise,Analytics Module,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,319,319,319,319,319,319,319,319
81,Customer82,Maintenance,Australia,Enterprise,Analytics Module,,"4,599","4,599","4,599","4,599","4,599","4,599","4,599","4,650","4,650","4,650","4,650","4,650","4,655","4,655","4,655","4,655","4,655","4,655","4,655","4,984","4,984","4,984","4,984","4,984","5,000","5,000","5,000","5,000","5,000","5,063","5,000","5,054","5,054","5,059","5,059","5,059","5,142","5,037","4,972","4,874","5,010","5,252","5,394","5,604","5,539","5,542","5,657","5,843"
82,Customer83,Maintenance,Australia,Enterprise,Platform,,466,466,466,466,466,466,466,466,706,914,"1,073","3,407","1,657","1,785","1,785","1,920","1,920","1,920","3,375","2,128","2,128","2,128","2,564","2,564",436,678,"9,281","3,546","3,546","3,546","3,721","3,721","3,721","3,286","4,158","4,158","3,825","3,825","3,825","3,825","3,825","3,825","3,825","4,372","4,372","4,292","4,292","4,293"
83,Customer84,Maintenance,Australia,Enterprise,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   
84,Customer85,Maintenance,Australia,Enterprise,Platform,,620,620,620,620,620,620,620,620,620,620,698,698,698,78,78,"2,023",726,726,726,726,"3,843",726,730,730,730, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   
85,Customer86,Subscription,Australia,Enterprise,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700"
86,Customer87,Subscription,USA,Enterprise,Analytics Module,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450"
87,Customer88,Subscription,USA,Enterprise,Analytics Module,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190","1,190"
88,Customer89,Subscription,Australia,Enterprise,Analytics Module,,"1,784","1,784","1,784","1,744","1,744","1,744","1,779","1,779","1,779","1,728","1,728","1,728","1,804","1,804","1,804","1,834","1,834","1,834","1,982","1,870","1,870","1,887","1,887","1,887","1,861","1,861","1,861","1,923","1,923","1,947","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,101","2,102","2,146","2,215"
89,Customer90,Maintenance,Canada,Enterprise,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,245,245,245,245,245
90,Customer91,Maintenance,USA,Enterprise,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"1,371","1,371","1,371","1,371","1,371","1,371","1,371","1,371","1,371","1,371","1,371","1,371","1,371","1,719","1,719","1,719","1,719","1,719","1,719","1,719","1,719","1,719","1,719","1,719","1,833","1,833","1,833","1,833"
91,Customer92,Subscription,USA,Enterprise,Analytics Module,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"2,361","2,313","2,283","2,340","2,340","2,340","2,340","2,340","2,340","2,340","2,340","2,340"
92,Customer93,Subscription,USA,Enterprise,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"2,288","2,260","2,260","2,508","3,179","3,179","3,792","3,499","2,251","2,222","2,156","2,217","2,323","2,386","2,479","2,451","2,452","2,503","2,585"
93,Customer94,Subscription,USA,Enterprise,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"4,773","4,773","4,773","4,773","4,773","4,773","4,773","4,773","4,773","4,773", 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   
